image_id,distance,gt_dx,gt_dy,gt_scale,pred_dx,pred_dy,pred_scale,error,chamfer_score,confidence,inlier_ratio,elapsed_ms,status
sample_01_0.2m_hand,0.2,112.0,-5.0,1.15,115.0,-7.0,1.0700000000000003,3.605551275463989,3.303330824110243,0.5476953045581522,0.6444444444444445,914.8329999879934,OK
sample_02_0.3m_hand,0.3,75.0,-5.0,1.05,71.0,-1.0,1.0700000000000003,5.656854249492381,2.031246778700087,0.6632127894561328,0.7777777777777778,934.8739000124624,OK
sample_03_0.5m_device,0.5,46.0,-5.0,1.0,50.0,8.0,1.0200000000000002,13.601470508735444,3.9629380967881946,0.5023271500268698,0.6888888888888889,923.3336000033887,OK
sample_04_1.0m_body,1.0,24.0,-5.0,0.9,22.0,2.0,1.0400000000000003,7.280109889280518,2.4756646050347224,0.617697216265658,0.7111111111111111,908.236899995245,OK
sample_05_cluttered_bg,0.4,57.0,-5.0,1.0,59.0,-3.0,1.1200000000000003,2.8284271247461903,3.678933376736111,0.5209056784003742,0.5555555555555556,963.7855000037234,OK
